id_test,accepted_binomial,EUNIS_name,original_name,contributor_name,contributor_email,cocontributors,doi,collection_year,collection_site,collection_country,iso_code,latitude,longitude,coordinate_accuracy,storage,substrate,experiment_length,scarification,stratification,other_treatments,water_potential,photoperiod,light_quality,T_day,T_night,seeds_sown,seeds_germinated,changed
3827,Genista florida,Genista florida,Genista florida,,,,10.1051/forest:2002076,nd,Leon Province and Palencia province,Spain,ES,42.59909699,-5.571606742,5.00E+05,stored_room costoreditions,paper,42,fire_125°C_1 min,none,none,0,15,white,20,20,100,42,
3828,Genista florida,Genista florida,Genista florida,,,,10.1051/forest:2002076,nd,Leon Province and Palencia province,Spain,ES,42.59909699,-5.571606742,5.00E+05,stored_room costoreditions,paper,42,fire_125°C_5 min,none,none,0,15,white,20,20,100,28,
3829,Genista florida,Genista florida,Genista florida,,,,10.1051/forest:2002076,nd,Leon Province and Palencia province,Spain,ES,42.59909699,-5.571606742,5.00E+05,stored_room costoreditions,paper,42,fire_125°C_10 min,none,none,0,15,white,20,20,100,13,
3830,Genista florida,Genista florida,Genista florida,,,,10.1051/forest:2002076,nd,Leon Province and Palencia province,Spain,ES,42.59909699,-5.571606742,5.00E+05,stored_room costoreditions,paper,42,fire_125°C_15 min,none,none,0,15,white,20,20,100,2,
915,Genista scorpius,Genista scorpius,Genista scorpius,,,,10.1093/aob/mcq017,2007,SE Iberian Peninsula,Spain,ES,38.27504625,-1.428970456,5.00E+05,stored_20°C;40-50%RH_1 year,agar,60,heat_80 °C_5 min,none,none,0,0,none,20,20,100,10,
916,Genista scorpius,Genista scorpius,Genista scorpius,,,,10.1093/aob/mcq017,2007,SE Iberian Peninsula,Spain,ES,38.27504625,-1.428970456,5.00E+05,stored_20°C;40-50%RH_1 year,agar,60,heat_80 °C_10 min,none,none,0,0,none,20,20,100,17,
917,Genista scorpius,Genista scorpius,Genista scorpius,,,,10.1093/aob/mcq017,2007,SE Iberian Peninsula,Spain,ES,38.27504625,-1.428970456,5.00E+05,stored_20°C;40-50%RH_1 year,agar,60,heat_100°C_5 min,none,none,0,0,none,20,20,100,22,
918,Genista scorpius,Genista scorpius,Genista scorpius,,,,10.1093/aob/mcq017,2007,SE Iberian Peninsula,Spain,ES,38.27504625,-1.428970456,5.00E+05,stored_20°C;40-50%RH_1 year,agar,60,heat_100°C_10 min,none,none,0,0,none,20,20,100,24,
919,Genista scorpius,Genista scorpius,Genista scorpius,,,,10.1093/aob/mcq017,2007,SE Iberian Peninsula,Spain,ES,38.27504625,-1.428970456,5.00E+05,stored_20°C;40-50%RH_1 year,agar,60,heat_120°C_5 min,none,none,0,0,none,20,20,100,23,
920,Genista scorpius,Genista scorpius,Genista scorpius,,,,10.1093/aob/mcq017,2007,SE Iberian Peninsula,Spain,ES,38.27504625,-1.428970456,5.00E+05,stored_20°C;40-50%RH_1 year,agar,60,heat_120°C_10 min,none,none,0,0,none,20,20,100,4,
921,Genista scorpius,Genista scorpius,Genista scorpius,,,,10.1093/aob/mcq017,2007,SE Iberian Peninsula,Spain,ES,38.27504625,-1.428970456,5.00E+05,stored_20°C;40-50%RH_1 year,agar,60,heat_120°C_5 min,none,none,0,0,none,20,20,100,1,
