WCVP_id;accepted_binomial;authority;EUNIS_name;original_name;family;order;APG_clade
3112311;Glebionis coronaria;(L.) Cass. ex Spach;Glebionis coronaria;Glebionis coronaria;Asteraceae;Asterales;asterids
3074272;Hedypnois rhagadioloides;(L.) F.W.Schmidt;Hedypnois rhagadioloides;Hedypnois cretica;Asteraceae;Asterales;asterids
3091303;Helichrysum italicum;(Roth) G.Don;Helichrysum italicum;Helichrysum italicum;Asteraceae;Asterales;asterids
3091400;Helichrysum litoreum;Guss.;Helichrysum litoreum;Helichrysum litoreum;Asteraceae;Asterales;asterids
3091930;Helichrysum stoechas;(L.) Moench;Helichrysum stoechas;Helichrysum stoechas;Asteraceae;Asterales;asterids
3074657;Hypochaeris radicata;L.;Hypochaeris radicata;Hypochaeris radicata;Asteraceae;Asterales;asterids
2921992;Jacobaea maritima;(L.) Pelser & Meijden;Jacobaea maritima;Jacobaea maritima;Asteraceae;Asterales;asterids
351859;Jasione crispa;(Pourr.) Samp.;Jasione crispa;Jasione crispa;Campanulaceae;Asterales;asterids
3044604;Jurinea humilis;(Desf.) DC.;Jurinea humilis;Jurinea humilis;Asteraceae;Asterales;asterids
3062792;Launaea fragilis;(Asso) Pau;Launaea fragilis;Launaea fragilis;Asteraceae;Asterales;asterids
3112766;Leucanthemum vulgare;Lam.;Leucanthemum vulgare;Leucanthemum vulgare;Asteraceae;Asterales;asterids
3113963;Limbarda crithmoides;(L.) Dumort.;Limbarda crithmoides;Limbarda crithmoides;Asteraceae;Asterales;asterids
3114101;Pallenis spinosa;(L.) Cass.;Pallenis spinosa;Pallenis spinosa;Asteraceae;Asterales;asterids
3087528;Phagnalon saxatile;(L.) Cass.;Phagnalon saxatile;Phagnalon saxatile;Asteraceae;Asterales;asterids
3073897;Pilosella vahlii;(Froel.) F.W.Schultz & Sch.Bip.;Pilosella vahlii;Hieracium vahlii;Asteraceae;Asterales;asterids
3063151;Reichardia picroides;(L.) Roth;Reichardia picroides;Reichardia picroides;Asteraceae;Asterales;asterids
3074944;Scorzoneroides pyrenaica;(Gouan) Holub;Scorzoneroides cantabrica;Scorzoneroides cantabrica;Asteraceae;Asterales;asterids
3082278;Senecio vulgaris;L.;Senecio vulgaris;Senecio vulgaris;Asteraceae;Asterales;asterids
2901907;Silybum marianum;(L.) Gaertn.;Silybum marianum;Silybum marianum;Asteraceae;Asterales;asterids
2911230;Solidago virgaurea;L.;Solidago virgaurea;Solidago virgaurea;Asteraceae;Asterales;asterids
2929055;Sonchus asper;(L.) Hill;Sonchus oleraceus;Sonchus asper;Asteraceae;Asterales;asterids
2929055;Sonchus oleraceus;L.;Sonchus oleraceus;Sonchus oleraceus;Asteraceae;Asterales;asterids
2929055;Sonchus tenerrimus;L.;Sonchus oleraceus;Sonchus tenerrimus;Asteraceae;Asterales;asterids
3074138;Tolpis barbata;(L.) Gaertn.;Tolpis barbata;Tolpis barbata;Asteraceae;Asterales;asterids
2916928;Xanthium orientale;L.;Xanthium orientale;Xanthium orientale;Asteraceae;Asterales;asterids
